x-axis,h=5,h=10,h=15,h=20,h=25,h=30,h=35,h=40,
0,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,
1000000000000000000,990000000000000000,995000000000000000,996666666666666666,997500000000000000,998000000000000000,998333333333333333,998571428571428571,998750000000000000,
2000000000000000000,980000000000000000,990000000000000000,993333333333333333,995000000000000000,996000000000000000,996666666666666666,997142857142857142,997500000000000000,
3000000000000000000,970000000000000000,985000000000000000,990000000000000000,992500000000000000,994000000000000000,995000000000000000,995714285714285714,996250000000000000,
4000000000000000000,960000000000000000,980000000000000000,986666666666666666,990000000000000000,992000000000000000,993333333333333333,994285714285714285,995000000000000000,
5000000000000000000,950000000000000000,975000000000000000,983333333333333333,987500000000000000,990000000000000000,991666666666666666,992857142857142857,993750000000000000,
6000000000000000000,945000000000000000,970000000000000000,980000000000000000,985000000000000000,988000000000000000,990000000000000000,991428571428571428,992500000000000000,
7000000000000000000,940000000000000000,965000000000000000,976666666666666666,982500000000000000,986000000000000000,988333333333333333,990000000000000000,991250000000000000,
8000000000000000000,935000000000000000,960000000000000000,973333333333333333,980000000000000000,984000000000000000,986666666666666666,988571428571428571,990000000000000000,
9000000000000000000,930000000000000000,955000000000000000,970000000000000000,977500000000000000,982000000000000000,985000000000000000,987142857142857142,988750000000000000,
10000000000000000000,925000000000000000,950000000000000000,966666666666666666,975000000000000000,980000000000000000,983333333333333333,985714285714285714,987500000000000000,
11000000000000000000,922500000000000000,947500000000000000,963333333333333333,972500000000000000,978000000000000000,981666666666666666,984285714285714285,986250000000000000,
12000000000000000000,920000000000000000,945000000000000000,960000000000000000,970000000000000000,976000000000000000,980000000000000000,982857142857142857,985000000000000000,
13000000000000000000,917500000000000000,942500000000000000,956666666666666666,967500000000000000,974000000000000000,978333333333333333,981428571428571428,983750000000000000,
14000000000000000000,915000000000000000,940000000000000000,953333333333333333,965000000000000000,972000000000000000,976666666666666666,980000000000000000,982500000000000000,
15000000000000000000,912500000000000000,937500000000000000,950000000000000000,962500000000000000,970000000000000000,975000000000000000,978571428571428571,981250000000000000,
16000000000000000000,911250000000000000,935000000000000000,948333333333333333,960000000000000000,968000000000000000,973333333333333333,977142857142857142,980000000000000000,
17000000000000000000,910000000000000000,932500000000000000,946666666666666666,957500000000000000,966000000000000000,971666666666666666,975714285714285714,978750000000000000,
18000000000000000000,908750000000000000,930000000000000000,945000000000000000,955000000000000000,964000000000000000,970000000000000000,974285714285714285,977500000000000000,
19000000000000000000,907500000000000000,927500000000000000,943333333333333333,952500000000000000,962000000000000000,968333333333333333,972857142857142857,976250000000000000,
20000000000000000000,906250000000000000,925000000000000000,941666666666666666,950000000000000000,960000000000000000,966666666666666666,971428571428571428,975000000000000000,
21000000000000000000,905625000000000000,923750000000000000,940000000000000000,948750000000000000,958000000000000000,965000000000000000,970000000000000000,973750000000000000,
22000000000000000000,905000000000000000,922500000000000000,938333333333333333,947500000000000000,956000000000000000,963333333333333333,968571428571428571,972500000000000000,
23000000000000000000,904375000000000000,921250000000000000,936666666666666666,946250000000000000,954000000000000000,961666666666666666,967142857142857142,971250000000000000,
24000000000000000000,903750000000000000,920000000000000000,935000000000000000,945000000000000000,952000000000000000,960000000000000000,965714285714285714,970000000000000000,
